zona,region,provincia,provincia_poblacion,canton,canton_poblacion,dosis_total,primera_dosis,segunda_dosis,lat,lng,created_at
6,sierra,Azuay,881394,Cuenca,636996,663,663,0,-2.897414000000000,-79.00448100000000,01/02/2021
4,costa,Manabí,1562079,Portoviejo,321800,433,433,0,-1.056181000000000,-80.45521700000000,01/02/2021
7,costa,El Oro,715751,Machala,289141,306,306,0,-3.266667000000000,-79.96666700000000,01/02/2021
7,sierra,Loja,521154,Loja,274112,290,290,0,-3.983333000000000,-79.20000000000000,01/02/2021
4,costa,Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,288,288,0,-0.2541670000000000,-79.17194400000000,01/02/2021
1,sierra,Imbabura,476257,Ibarra,221149,276,276,0,0.3626780000000000,-78.13066700000000,01/02/2021
3,sierra,Chimborazo,524004,Riobamba,264048,254,254,0,-1.674347000000000,-78.64829400000001,01/02/2021
4,costa,Manabí,1562079,Manta,264281,233,233,0,-0.9500220000000000,-80.71620000000000,01/02/2021
1,costa,Esmeraldas,591083,Esmeraldas,218727,224,224,0,1.050000000000000,-79.20000000000000,01/02/2021
8,costa,Guayas,4387434,Milagro,199835,204,204,0,-2.126944000000000,-79.59916699999999,01/02/2021
5,insular,Galápagos,33042,Santa Cruz,20302,191,191,0,-0.6333330000000000,-90.36666700000001,01/02/2021
6,amazonia,Morona Santiago,196535,Morona,58281,190,190,0,-2.300000000000000,-78.11666700000001,01/02/2021
5,costa,Los Ríos,921763,Babahoyo,175281,189,189,0,-1.800000000000000,-79.53333300000000,01/02/2021
7,amazonia,Zamora Chinchipe,120416,Zamora,32761,144,144,0,-4.120000000000000,-78.80000000000000,01/02/2021
5,costa,Los Ríos,921763,Quevedo,213842,119,119,0,-1.033333000000000,-79.45000000000000,01/02/2021
7,amazonia,Zamora Chinchipe,120416,Yantzaza,26447,113,113,0,-3.850000000000000,-78.75000000000000,01/02/2021
3,sierra,Bolívar,209933,Guaranda,108763,109,109,0,-1.605556000000000,-79.00305600000000,01/02/2021
5,costa,Santa Elena,401178,Santa Elena,188821,109,109,0,-2.226700000000000,-80.85830000000000,01/02/2021
2,amazonia,Sucumbíos,230503,Lago Agrio,119594,108,108,0,0.08472200000000001,-76.88277800000000,01/02/2021
4,costa,Manabí,1562079,Sucre,62443,102,102,0,-0.6000000000000000,-80.41666700000000,01/02/2021
6,sierra,Cañar,281396,Azogues,86276,101,101,0,-2.733333000000000,-78.83333300000000,01/02/2021
1,sierra,Carchi,186869,Tulcán,102395,98,98,0,0.8121800000000000,-77.71633000000000,01/02/2021
4,costa,Manabí,1562079,Chone,131002,85,85,0,-0.6833330000000000,-80.09999999999999,01/02/2021
7,costa,El Oro,715751,Santa Rosa,82171,72,72,0,-3.452222000000000,-79.96166700000001,01/02/2021
7,costa,El Oro,715751,El Guabo,63645,60,60,0,-3.238800000000000,-79.82920000000000,01/02/2021
4,costa,Manabí,1562079,Jipijapa,74645,48,48,0,-1.333330000000000,-80.58329999999999,01/02/2021
1,sierra,Imbabura,476257,Otavalo,125785,48,48,0,0.2333330000000000,-78.26666700000000,01/02/2021
4,costa,Manabí,1562079,Pedernales,63441,44,44,0,0.07010000000000000,-80.05360000000000,01/02/2021
4,costa,Manabí,1562079,Jaramijó,28439,43,43,0,-0.9487300000000000,-80.63630000000001,01/02/2021
5,costa,Los Ríos,921763,Valencia,54637,42,42,0,-0.9525000000000000,-79.35310000000000,01/02/2021
7,amazonia,Zamora Chinchipe,120416,El Pangui,10945,32,32,0,-3.624900000000000,-78.58710000000001,01/02/2021
6,sierra,Cañar,281396,Biblían,23741,30,30,0,-2.710000000000000,-78.88000000000000,01/02/2021
5,costa,Los Ríos,921763,Montalvo,28720,30,30,0,-1.793800000000000,-79.28570000000001,01/02/2021
3,sierra,Tungurahua,590600,Patate,15825,25,25,0,-1.316667000000000,-78.51666700000000,01/02/2021
3,sierra,Chimborazo,524004,Guano,48395,24,24,0,-1.583333000000000,-78.63333299999999,01/02/2021
5,costa,Los Ríos,921763,Vinces,82329,24,24,0,-1.558333000000000,-79.75000000000000,01/02/2021
7,costa,El Oro,715751,Zaruma,25654,18,18,0,-3.433333000000000,-79.59999999999999,01/02/2021
5,costa,Los Ríos,921763,Buena Fe,83654,12,12,0,-0.8985720000000000,-79.48891600000000,01/02/2021
7,costa,El Oro,715751,Huaquillas,60440,12,12,0,-3.481380000000000,-80.24320700000000,01/02/2021
1,costa,Esmeraldas,591083,San Lorenzo,62772,12,12,0,1.265800000000000,-78.84139999999999,01/02/2021
3,sierra,Tungurahua,590600,Píllaro,43371,11,11,0,-1.175833000000000,-78.55527800000000,01/02/2021
3,sierra,Chimborazo,524004,Alausí,45054,1,1,0,-2.200000000000000,-78.84999999999999,01/02/2021
9,sierra,Pichincha,3228233,Puerto Quito,24911,1,1,0,0.1170000000000000,-79.26400000000000,01/02/2021
8,costa,Guayas,4387434,Samborondón,102404,1,1,0,-2.183333000000000,-79.88333299999999,01/02/2021
9,sierra,Pichincha,3228233,Quito,2781641,1776,1776,0,-0.2186110000000000,-78.50972200000000,02/02/2021
8,costa,Guayas,4387434,Guayaquil,2723665,1327,1327,0,-2.183333000000000,-79.88333299999999,02/02/2021
6,sierra,Azuay,881394,Cuenca,636996,663,663,0,-2.897414000000000,-79.00448100000000,02/02/2021
4,costa,Manabí,1562079,Portoviejo,321800,433,433,0,-1.056181000000000,-80.45521700000000,02/02/2021
3,sierra,Tungurahua,590600,Ambato,387309,331,331,0,-1.241667000000000,-78.61972200000000,02/02/2021
7,costa,El Oro,715751,Machala,289141,306,306,0,-3.266667000000000,-79.96666700000000,02/02/2021
7,sierra,Loja,521154,Loja,274112,290,290,0,-3.983333000000000,-79.20000000000000,02/02/2021
4,costa,Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,288,288,0,-0.2541670000000000,-79.17194400000000,02/02/2021
1,sierra,Imbabura,476257,Ibarra,221149,276,276,0,0.3626780000000000,-78.13066700000000,02/02/2021
3,sierra,Chimborazo,524004,Riobamba,264048,254,254,0,-1.674347000000000,-78.64829400000001,02/02/2021
5,insular,Galápagos,33042,San Cristóbal,9667,252,252,0,-0.8000000000000000,-89.40000000000001,02/02/2021
3,sierra,Cotopaxi,488716,Latacunga,205624,240,240,0,-0.9333330000000000,-78.61666700000001,02/02/2021
4,costa,Manabí,1562079,Manta,264281,233,233,0,-0.9500220000000000,-80.71620000000000,02/02/2021
1,costa,Esmeraldas,591083,Esmeraldas,218727,224,224,0,1.050000000000000,-79.20000000000000,02/02/2021
8,costa,Guayas,4387434,Milagro,199835,204,204,0,-2.126944000000000,-79.59916699999999,02/02/2021
5,insular,Galápagos,33042,Santa Cruz,20302,191,191,0,-0.6333330000000000,-90.36666700000001,02/02/2021
6,amazonia,Morona Santiago,196535,Morona,58281,190,190,0,-2.300000000000000,-78.11666700000001,02/02/2021
5,costa,Los Ríos,921763,Babahoyo,175281,189,189,0,-1.800000000000000,-79.53333300000000,02/02/2021
2,amazonia,Pastaza,114202,Pastaza,84377,157,157,0,-1.066667000000000,-78.00111099999999,02/02/2021
7,amazonia,Zamora Chinchipe,120416,Zamora,32761,144,144,0,-4.120000000000000,-78.80000000000000,02/02/2021
2,amazonia,Napo,133705,Tena,79182,133,133,0,-0.9890000000000000,-77.81590000000000,02/02/2021
5,costa,Los Ríos,921763,Quevedo,213842,119,119,0,-1.033333000000000,-79.45000000000000,02/02/2021
7,amazonia,Zamora Chinchipe,120416,Yantzaza,26447,113,113,0,-3.850000000000000,-78.75000000000000,02/02/2021
3,sierra,Bolívar,209933,Guaranda,108763,109,109,0,-1.605556000000000,-79.00305600000000,02/02/2021
5,costa,Santa Elena,401178,Santa Elena,188821,109,109,0,-2.226700000000000,-80.85830000000000,02/02/2021
2,amazonia,Sucumbíos,230503,Lago Agrio,119594,108,108,0,0.08472200000000001,-76.88277800000000,02/02/2021
4,costa,Manabí,1562079,Sucre,62443,102,102,0,-0.6000000000000000,-80.41666700000000,02/02/2021
6,sierra,Cañar,281396,Azogues,86276,101,101,0,-2.733333000000000,-78.83333300000000,02/02/2021
1,sierra,Carchi,186869,Tulcán,102395,98,98,0,0.8121800000000000,-77.71633000000000,02/02/2021
4,costa,Manabí,1562079,Chone,131002,85,85,0,-0.6833330000000000,-80.09999999999999,02/02/2021
7,costa,El Oro,715751,Santa Rosa,82171,72,72,0,-3.452222000000000,-79.96166700000001,02/02/2021
7,costa,El Oro,715751,El Guabo,63645,60,60,0,-3.238800000000000,-79.82920000000000,02/02/2021
2,amazonia,Orellana,161338,Orellana,93778,60,60,0,-0.4666670000000000,-76.96666700000000,02/02/2021
4,costa,Manabí,1562079,Jipijapa,74645,48,48,0,-1.333330000000000,-80.58329999999999,02/02/2021
1,sierra,Imbabura,476257,Otavalo,125785,48,48,0,0.2333330000000000,-78.26666700000000,02/02/2021
4,costa,Manabí,1562079,Pedernales,63441,44,44,0,0.07010000000000000,-80.05360000000000,02/02/2021
4,costa,Manabí,1562079,Jaramijó,28439,43,43,0,-0.9487300000000000,-80.63630000000001,02/02/2021
5,costa,Los Ríos,921763,Valencia,54637,42,42,0,-0.9525000000000000,-79.35310000000000,02/02/2021
7,amazonia,Zamora Chinchipe,120416,El Pangui,10945,32,32,0,-3.624900000000000,-78.58710000000001,02/02/2021
6,sierra,Cañar,281396,Biblían,23741,30,30,0,-2.710000000000000,-78.88000000000000,02/02/2021
5,costa,Los Ríos,921763,Montalvo,28720,30,30,0,-1.793800000000000,-79.28570000000001,02/02/2021
2,amazonia,Pastaza,114202,Mera,17547,27,27,0,-1.460000000000000,-78.09000000000000,02/02/2021
3,sierra,Tungurahua,590600,Patate,15825,25,25,0,-1.316667000000000,-78.51666700000000,02/02/2021
3,sierra,Chimborazo,524004,Guano,48395,24,24,0,-1.583333000000000,-78.63333299999999,02/02/2021
5,costa,Los Ríos,921763,Vinces,82329,24,24,0,-1.558333000000000,-79.75000000000000,02/02/2021
7,costa,El Oro,715751,Zaruma,25654,18,18,0,-3.433333000000000,-79.59999999999999,02/02/2021
5,costa,Los Ríos,921763,Buena Fe,83654,12,12,0,-0.8985720000000000,-79.48891600000000,02/02/2021
7,costa,El Oro,715751,Huaquillas,60440,12,12,0,-3.481380000000000,-80.24320700000000,02/02/2021
1,costa,Esmeraldas,591083,San Lorenzo,62772,12,12,0,1.265800000000000,-78.84139999999999,02/02/2021
3,sierra,Tungurahua,590600,Píllaro,43371,11,11,0,-1.175833000000000,-78.55527800000000,02/02/2021
3,sierra,Chimborazo,524004,Alausí,45054,1,1,0,-2.200000000000000,-78.84999999999999,02/02/2021
9,sierra,Pichincha,3228233,Puerto Quito,24911,1,1,0,0.1170000000000000,-79.26400000000000,02/02/2021
8,costa,Guayas,4387434,Samborondón,102404,1,1,0,-2.183333000000000,-79.88333299999999,02/02/2021
9,sierra,Pichincha,3228233,Quito,2781641,3066,3065,1,-0.2186110000000000,-78.50972200000000,03/02/2021
8,costa,Guayas,4387434,Guayaquil,2723665,2375,2375,0,-2.183333000000000,-79.88333299999999,03/02/2021
6,sierra,Azuay,881394,Cuenca,636996,663,663,0,-2.897414000000000,-79.00448100000000,03/02/2021
4,costa,Manabí,1562079,Portoviejo,321800,433,433,0,-1.056181000000000,-80.45521700000000,03/02/2021
3,sierra,Tungurahua,590600,Ambato,387309,331,331,0,-1.241667000000000,-78.61972200000000,03/02/2021
7,costa,El Oro,715751,Machala,289141,306,306,0,-3.266667000000000,-79.96666700000000,03/02/2021
8,costa,Guayas,4387434,Samborondón,102404,299,299,0,-2.183333000000000,-79.88333299999999,03/02/2021
7,sierra,Loja,521154,Loja,274112,290,290,0,-3.983333000000000,-79.20000000000000,03/02/2021
4,costa,Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,288,288,0,-0.2541670000000000,-79.17194400000000,03/02/2021
1,sierra,Imbabura,476257,Ibarra,221149,276,276,0,0.3626780000000000,-78.13066700000000,03/02/2021
3,sierra,Chimborazo,524004,Riobamba,264048,254,254,0,-1.674347000000000,-78.64829400000001,03/02/2021
5,insular,Galápagos,33042,San Cristóbal,9667,252,252,0,-0.8000000000000000,-89.40000000000001,03/02/2021
3,sierra,Cotopaxi,488716,Latacunga,205624,240,240,0,-0.9333330000000000,-78.61666700000001,03/02/2021
4,costa,Manabí,1562079,Manta,264281,233,233,0,-0.9500220000000000,-80.71620000000000,03/02/2021
1,costa,Esmeraldas,591083,Esmeraldas,218727,224,224,0,1.050000000000000,-79.20000000000000,03/02/2021
8,costa,Guayas,4387434,Milagro,199835,204,204,0,-2.126944000000000,-79.59916699999999,03/02/2021
5,insular,Galápagos,33042,Santa Cruz,20302,191,191,0,-0.6333330000000000,-90.36666700000001,03/02/2021
6,amazonia,Morona Santiago,196535,Morona,58281,190,190,0,-2.300000000000000,-78.11666700000001,03/02/2021
5,costa,Los Ríos,921763,Babahoyo,175281,189,189,0,-1.800000000000000,-79.53333300000000,03/02/2021
2,amazonia,Pastaza,114202,Pastaza,84377,157,157,0,-1.066667000000000,-78.00111099999999,03/02/2021
7,amazonia,Zamora Chinchipe,120416,Zamora,32761,144,144,0,-4.120000000000000,-78.80000000000000,03/02/2021
2,amazonia,Napo,133705,Tena,79182,133,133,0,-0.9890000000000000,-77.81590000000000,03/02/2021
5,costa,Los Ríos,921763,Quevedo,213842,119,119,0,-1.033333000000000,-79.45000000000000,03/02/2021
7,amazonia,Zamora Chinchipe,120416,Yantzaza,26447,113,113,0,-3.850000000000000,-78.75000000000000,03/02/2021
3,sierra,Bolívar,209933,Guaranda,108763,109,109,0,-1.605556000000000,-79.00305600000000,03/02/2021
5,costa,Santa Elena,401178,Santa Elena,188821,109,109,0,-2.226700000000000,-80.85830000000000,03/02/2021
2,amazonia,Sucumbíos,230503,Lago Agrio,119594,108,108,0,0.08472200000000001,-76.88277800000000,03/02/2021
4,costa,Manabí,1562079,Sucre,62443,102,102,0,-0.6000000000000000,-80.41666700000000,03/02/2021
6,sierra,Cañar,281396,Azogues,86276,101,101,0,-2.733333000000000,-78.83333300000000,03/02/2021
1,sierra,Carchi,186869,Tulcán,102395,98,98,0,0.8121800000000000,-77.71633000000000,03/02/2021
4,costa,Manabí,1562079,Chone,131002,85,85,0,-0.6833330000000000,-80.09999999999999,03/02/2021
7,costa,El Oro,715751,Santa Rosa,82171,72,72,0,-3.452222000000000,-79.96166700000001,03/02/2021
7,costa,El Oro,715751,El Guabo,63645,60,60,0,-3.238800000000000,-79.82920000000000,03/02/2021
2,amazonia,Orellana,161338,Orellana,93778,60,60,0,-0.4666670000000000,-76.96666700000000,03/02/2021
4,costa,Manabí,1562079,Jipijapa,74645,48,48,0,-1.333330000000000,-80.58329999999999,03/02/2021
1,sierra,Imbabura,476257,Otavalo,125785,48,48,0,0.2333330000000000,-78.26666700000000,03/02/2021
4,costa,Manabí,1562079,Pedernales,63441,44,44,0,0.07010000000000000,-80.05360000000000,03/02/2021
4,costa,Manabí,1562079,Jaramijó,28439,43,43,0,-0.9487300000000000,-80.63630000000001,03/02/2021
5,costa,Los Ríos,921763,Valencia,54637,42,42,0,-0.9525000000000000,-79.35310000000000,03/02/2021
7,amazonia,Zamora Chinchipe,120416,El Pangui,10945,32,32,0,-3.624900000000000,-78.58710000000001,03/02/2021
6,sierra,Cañar,281396,Biblían,23741,30,30,0,-2.710000000000000,-78.88000000000000,03/02/2021
5,costa,Los Ríos,921763,Montalvo,28720,30,30,0,-1.793800000000000,-79.28570000000001,03/02/2021
2,amazonia,Pastaza,114202,Mera,17547,27,27,0,-1.460000000000000,-78.09000000000000,03/02/2021
3,sierra,Tungurahua,590600,Patate,15825,25,25,0,-1.316667000000000,-78.51666700000000,03/02/2021
3,sierra,Chimborazo,524004,Guano,48395,24,24,0,-1.583333000000000,-78.63333299999999,03/02/2021
5,costa,Los Ríos,921763,Vinces,82329,24,24,0,-1.558333000000000,-79.75000000000000,03/02/2021
7,costa,El Oro,715751,Zaruma,25654,18,18,0,-3.433333000000000,-79.59999999999999,03/02/2021
5,costa,Los Ríos,921763,Buena Fe,83654,12,12,0,-0.8985720000000000,-79.48891600000000,03/02/2021
7,costa,El Oro,715751,Huaquillas,60440,12,12,0,-3.481380000000000,-80.24320700000000,03/02/2021
1,costa,Esmeraldas,591083,San Lorenzo,62772,12,12,0,1.265800000000000,-78.84139999999999,03/02/2021
3,sierra,Tungurahua,590600,Píllaro,43371,11,11,0,-1.175833000000000,-78.55527800000000,03/02/2021
3,sierra,Chimborazo,524004,Alausí,45054,1,1,0,-2.200000000000000,-78.84999999999999,03/02/2021
9,sierra,Pichincha,3228233,Puerto Quito,24911,1,1,0,0.1170000000000000,-79.26400000000000,03/02/2021
9,sierra,Pichincha,3228233,Quito,2781641,3109,3067,42,-0.2186110000000000,-78.50972200000000,04/02/2021
8,costa,Guayas,4387434,Guayaquil,2723665,2423,2423,0,-2.183333000000000,-79.88333299999999,04/02/2021
6,sierra,Azuay,881394,Cuenca,636996,663,663,0,-2.897414000000000,-79.00448100000000,04/02/2021
4,costa,Manabí,1562079,Portoviejo,321800,433,433,0,-1.056181000000000,-80.45521700000000,04/02/2021
3,sierra,Tungurahua,590600,Ambato,387309,331,331,0,-1.241667000000000,-78.61972200000000,04/02/2021
7,costa,El Oro,715751,Machala,289141,306,306,0,-3.266667000000000,-79.96666700000000,04/02/2021
8,costa,Guayas,4387434,Samborondón,102404,299,299,0,-2.183333000000000,-79.88333299999999,04/02/2021
7,sierra,Loja,521154,Loja,274112,290,290,0,-3.983333000000000,-79.20000000000000,04/02/2021
4,costa,Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,288,288,0,-0.2541670000000000,-79.17194400000000,04/02/2021
1,sierra,Imbabura,476257,Ibarra,221149,276,276,0,0.3626780000000000,-78.13066700000000,04/02/2021
3,sierra,Chimborazo,524004,Riobamba,264048,254,254,0,-1.674347000000000,-78.64829400000001,04/02/2021
5,insular,Galápagos,33042,San Cristóbal,9667,252,252,0,-0.8000000000000000,-89.40000000000001,04/02/2021
3,sierra,Cotopaxi,488716,Latacunga,205624,240,240,0,-0.9333330000000000,-78.61666700000001,04/02/2021
4,costa,Manabí,1562079,Manta,264281,233,233,0,-0.9500220000000000,-80.71620000000000,04/02/2021
1,costa,Esmeraldas,591083,Esmeraldas,218727,224,224,0,1.050000000000000,-79.20000000000000,04/02/2021
8,costa,Guayas,4387434,Milagro,199835,204,204,0,-2.126944000000000,-79.59916699999999,04/02/2021
5,insular,Galápagos,33042,Santa Cruz,20302,191,191,0,-0.6333330000000000,-90.36666700000001,04/02/2021
6,amazonia,Morona Santiago,196535,Morona,58281,190,190,0,-2.300000000000000,-78.11666700000001,04/02/2021
5,costa,Los Ríos,921763,Babahoyo,175281,189,189,0,-1.800000000000000,-79.53333300000000,04/02/2021
2,amazonia,Pastaza,114202,Pastaza,84377,157,157,0,-1.066667000000000,-78.00111099999999,04/02/2021
7,amazonia,Zamora Chinchipe,120416,Zamora,32761,144,144,0,-4.120000000000000,-78.80000000000000,04/02/2021
5,costa,Los Ríos,921763,Quevedo,213842,137,137,0,-1.033333000000000,-79.45000000000000,04/02/2021
2,amazonia,Napo,133705,Tena,79182,133,133,0,-0.9890000000000000,-77.81590000000000,04/02/2021
7,amazonia,Zamora Chinchipe,120416,Yantzaza,26447,113,113,0,-3.850000000000000,-78.75000000000000,04/02/2021
3,sierra,Bolívar,209933,Guaranda,108763,109,109,0,-1.605556000000000,-79.00305600000000,04/02/2021
5,costa,Santa Elena,401178,Santa Elena,188821,109,109,0,-2.226700000000000,-80.85830000000000,04/02/2021
2,amazonia,Sucumbíos,230503,Lago Agrio,119594,108,108,0,0.08472200000000001,-76.88277800000000,04/02/2021
4,costa,Manabí,1562079,Sucre,62443,102,102,0,-0.6000000000000000,-80.41666700000000,04/02/2021
6,sierra,Cañar,281396,Azogues,86276,101,101,0,-2.733333000000000,-78.83333300000000,04/02/2021
1,sierra,Carchi,186869,Tulcán,102395,98,98,0,0.8121800000000000,-77.71633000000000,04/02/2021
4,costa,Manabí,1562079,Chone,131002,85,85,0,-0.6833330000000000,-80.09999999999999,04/02/2021
7,costa,El Oro,715751,Santa Rosa,82171,72,72,0,-3.452222000000000,-79.96166700000001,04/02/2021
7,costa,El Oro,715751,El Guabo,63645,60,60,0,-3.238800000000000,-79.82920000000000,04/02/2021
2,amazonia,Orellana,161338,Orellana,93778,60,60,0,-0.4666670000000000,-76.96666700000000,04/02/2021
4,costa,Manabí,1562079,Jipijapa,74645,48,48,0,-1.333330000000000,-80.58329999999999,04/02/2021
1,sierra,Imbabura,476257,Otavalo,125785,48,48,0,0.2333330000000000,-78.26666700000000,04/02/2021
4,costa,Manabí,1562079,Pedernales,63441,44,44,0,0.07010000000000000,-80.05360000000000,04/02/2021
4,costa,Manabí,1562079,Jaramijó,28439,43,43,0,-0.9487300000000000,-80.63630000000001,04/02/2021
5,costa,Los Ríos,921763,Valencia,54637,42,42,0,-0.9525000000000000,-79.35310000000000,04/02/2021
7,amazonia,Zamora Chinchipe,120416,El Pangui,10945,32,32,0,-3.624900000000000,-78.58710000000001,04/02/2021
6,sierra,Cañar,281396,Biblían,23741,30,30,0,-2.710000000000000,-78.88000000000000,04/02/2021
5,costa,Los Ríos,921763,Montalvo,28720,30,30,0,-1.793800000000000,-79.28570000000001,04/02/2021
2,amazonia,Pastaza,114202,Mera,17547,27,27,0,-1.460000000000000,-78.09000000000000,04/02/2021
3,sierra,Tungurahua,590600,Patate,15825,25,25,0,-1.316667000000000,-78.51666700000000,04/02/2021
3,sierra,Chimborazo,524004,Guano,48395,24,24,0,-1.583333000000000,-78.63333299999999,04/02/2021
5,costa,Los Ríos,921763,Vinces,82329,24,24,0,-1.558333000000000,-79.75000000000000,04/02/2021
7,costa,El Oro,715751,Zaruma,25654,18,18,0,-3.433333000000000,-79.59999999999999,04/02/2021
5,costa,Los Ríos,921763,Buena Fe,83654,12,12,0,-0.8985720000000000,-79.48891600000000,04/02/2021
7,costa,El Oro,715751,Huaquillas,60440,12,12,0,-3.481380000000000,-80.24320700000000,04/02/2021
1,costa,Esmeraldas,591083,San Lorenzo,62772,12,12,0,1.265800000000000,-78.84139999999999,04/02/2021
3,sierra,Tungurahua,590600,Píllaro,43371,11,11,0,-1.175833000000000,-78.55527800000000,04/02/2021
3,sierra,Chimborazo,524004,Alausí,45054,1,1,0,-2.200000000000000,-78.84999999999999,04/02/2021
9,sierra,Pichincha,3228233,Puerto Quito,24911,1,1,0,0.1170000000000000,-79.26400000000000,04/02/2021
9,sierra,Pichincha,3228233,Quito,2781641,3110,3068,42,-0.2186110000000000,-78.50972200000000,05/02/2021
