inec_provincia_id,provincia,total,acumuladas,lat,lng,mes
1,Azuay,314,314,-2.897414000000000,-79.00448100000000,1
2,Bolívar,55,55,-1.605556000000000,-79.00305600000000,1
4,Carchi,61,61,0.8121800000000000,-77.71633000000000,1
3,Cañar,84,84,-2.733333000000000,-78.83333300000000,1
6,Chimborazo,171,171,-1.674347000000000,-78.64829400000001,1
5,Cotopaxi,151,151,-0.9333330000000000,-78.61666700000001,1
7,El Oro,225,225,-3.266667000000000,-79.96666700000000,1
8,Esmeraldas,125,125,1.050000000000000,-79.20000000000000,1
20,Galápagos,6,6,-0.7999999999999999,-89.40000000000001,1
9,Guayas,1668,1668,-2.183333000000000,-79.88333299999999,1
10,Imbabura,157,157,0.3626780000000000,-78.13066700000000,1
11,Loja,180,180,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,286,286,-1.800000000000000,-79.53333300000000,1
13,Manabí,482,482,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,42,42,-2.300000000000000,-78.11666700000001,1
15,Napo,29,29,-0.9890000000000000,-77.81590000000000,1
22,Orellana,35,35,-0.4666670000000000,-76.96666700000000,1
88,Otro,0,0,0,0,1
16,Pastaza,22,22,-1.066667000000000,-78.00111099999999,1
17,Pichincha,966,966,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,100,100,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,161,161,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,53,53,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,242,242,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,16,16,-4.120000000000000,-78.80000000000000,1
1,Azuay,282,596,-2.897414000000000,-79.00448100000000,2
2,Bolívar,61,116,-1.605556000000000,-79.00305600000000,2
4,Carchi,48,109,0.8121800000000000,-77.71633000000000,2
3,Cañar,93,177,-2.733333000000000,-78.83333300000000,2
6,Chimborazo,177,348,-1.674347000000000,-78.64829400000001,2
5,Cotopaxi,118,269,-0.9333330000000000,-78.61666700000001,2
7,El Oro,216,441,-3.266667000000000,-79.96666700000000,2
8,Esmeraldas,119,244,1.050000000000000,-79.20000000000000,2
20,Galápagos,0,6,-0.7999999999999999,-89.40000000000001,2
9,Guayas,1645,3313,-2.183333000000000,-79.88333299999999,2
10,Imbabura,160,317,0.3626780000000000,-78.13066700000000,2
11,Loja,191,371,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,284,570,-1.800000000000000,-79.53333300000000,2
13,Manabí,469,951,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,33,75,-2.300000000000000,-78.11666700000001,2
15,Napo,28,57,-0.9890000000000000,-77.81590000000000,2
22,Orellana,29,64,-0.4666670000000000,-76.96666700000000,2
88,Otro,1,1,0,0,2
16,Pastaza,26,48,-1.066667000000000,-78.00111099999999,2
17,Pichincha,915,1881,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,107,207,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,169,330,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,33,86,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,215,457,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,11,27,-4.120000000000000,-78.80000000000000,2
1,Azuay,353,949,-2.897414000000000,-79.00448100000000,3
2,Bolívar,73,189,-1.605556000000000,-79.00305600000000,3
4,Carchi,61,170,0.8121800000000000,-77.71633000000000,3
3,Cañar,74,251,-2.733333000000000,-78.83333300000000,3
6,Chimborazo,184,532,-1.674347000000000,-78.64829400000001,3
5,Cotopaxi,139,408,-0.9333330000000000,-78.61666700000001,3
7,El Oro,214,655,-3.266667000000000,-79.96666700000000,3
8,Esmeraldas,154,398,1.050000000000000,-79.20000000000000,3
20,Galápagos,4,10,-0.7999999999999999,-89.40000000000001,3
9,Guayas,2047,5360,-2.183333000000000,-79.88333299999999,3
