inec_provincia_id,provincia,poblacion,lat,lng,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre
01,Azuay,881394,-2.897414000000000,-79.00448100000000,2,15,33,50,72,117,153,195,199
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,0,11,24,34,51,56,63,66,66
04,Carchi,186869,0.8121800000000000,-77.71633000000000,0,5,11,17,29,53,90,104,104
03,Cañar,281396,-2.733333000000000,-78.83333300000000,2,9,30,45,51,61,70,82,84
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,0,35,109,151,213,262,292,313,318
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,1,19,54,120,167,203,225,279,283
07,El Oro,715751,-3.266667000000000,-79.96666700000000,4,80,183,251,334,364,395,464,494
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,0,19,80,139,186,200,207,216,218
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,1,1,1,1,1,1,1,1
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,52,380,1405,1584,1656,1681,1714,1737,1745
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,1,9,14,39,71,94,123,169,172
11,Loja,521154,-3.983333000000000,-79.20000000000000,0,10,21,45,81,160,198,222,230
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,6,38,195,256,316,323,337,342,344
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,1,106,434,627,787,882,938,1023,1067
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,0,1,3,10,14,19,21,22,22
15,Napo,133705,-0.9890000000000000,-77.81590000000000,0,2,15,31,49,62,69,74,74
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,0,1,4,18,33,38,51,53,53
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,0,3,5,22,44,48,52,60,60
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,5,68,304,501,718,920,1442,1785,1828
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,4,47,281,325,331,352,368,368,368
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,0,21,74,118,246,324,347,361,362
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,1,1,5,20,50,77,90,92,93
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,0,17,68,107,168,217,250,276,278
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,0,2,5,16,34,42,50,53,53
