provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,172,32,9,5,2
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,55,26,11,12,0
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,3015,4990,1485,884,272
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,40,15,12,3,1
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,35,34,8,2,1
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,41,11,9,1,0
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,221,122,53,57,8
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,66,54,8,5,2
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,34,19,2,0,0
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,231,105,35,18,4
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,32,19,7,0,0
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,39,15,6,0,0
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,117,47,20,15,10
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,78,31,20,2,1
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,201,146,66,13,1
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,465,55,12,0,0
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,241,72,8,1,3
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,281,94,20,3,6
Bolívar,209933,Echeandía,14081,-1.433330000000000,-79.26667000000000,250,40,5,2,0
Bolívar,209933,Guaranda,108763,-1.605556000000000,-79.00305600000000,793,342,142,27,3
Bolívar,209933,Las Naves,7428,-1.283330000000000,-79.30000000000000,86,8,0,0,0
Bolívar,209933,San Miguel,29004,-1.700000000000000,-79.03333300000000,619,337,72,10,10
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,120,62,12,4,3
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,131,74,20,9,1
Carchi,186869,Mira,11969,0.5538999999999999,-78.04930000000000,151,89,41,12,0
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,279,177,44,5,6
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,49,46,9,0,2
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,1018,561,150,22,16
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,2472,1318,288,84,46
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,562,228,45,15,8
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,740,386,107,58,12
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,60,35,5,3,0
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,148,57,8,2,4
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,529,173,110,13,7
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,36,17,1,5,2
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,161,54,10,7,0
Chimborazo,524004,Chambo,13378,-1.733333000000000,-78.58333300000000,93,18,10,3,1
Chimborazo,524004,Chunchi,12795,-2.283333000000000,-78.91666700000000,59,11,4,0,0
Chimborazo,524004,Colta,44838,-1.700000000000000,-78.75000000000000,137,45,13,8,2
Chimborazo,524004,Cumandá,17973,-2.200000000000000,-79.13333299999999,115,19,8,3,0
Chimborazo,524004,Guamote,58291,-1.933333000000000,-78.71666700000000,74,37,8,6,2
Chimborazo,524004,Guano,48395,-1.583333000000000,-78.63333299999999,402,123,38,4,4
Chimborazo,524004,Pallatanga,12277,-1.983333000000000,-78.95000000000000,20,14,5,1,0
Chimborazo,524004,Penipe,6955,-1.557300000000000,-78.53959999999999,48,40,4,2,0
Chimborazo,524004,Riobamba,264048,-1.674347000000000,-78.64829400000001,3108,1176,323,84,51
Cotopaxi,488716,La Maná,56905,-0.9300000000000000,-79.22000000000000,217,49,7,2,0
Cotopaxi,488716,Latacunga,205624,-0.9333330000000000,-78.61666700000001,1399,659,125,58,18
Cotopaxi,488716,Pangua,24612,-1.133333000000000,-79.06666700000000,93,27,2,1,1
Cotopaxi,488716,Pujilí,79772,-0.9500000000000000,-78.69000000000000,603,279,38,14,8
Cotopaxi,488716,Salcedo,67100,-1.050000000000000,-78.58333300000000,647,319,84,26,14
Cotopaxi,488716,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,201,90,9,9,3
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,104,69,8,2,2
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,405,72,10,5,2
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,111,51,4,0,0
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,248,41,2,4,0
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,37,6,1,0,0
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,641,134,18,7,3
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,579,300,16,3,0
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,98,34,2,2,0
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,9697,2977,252,60,22
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,196,40,5,2,2
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,1700,634,41,8,3
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,1099,439,34,21,1
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,415,114,8,2,1
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,1613,492,37,8,0
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,470,228,20,10,0
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,279,122,20,2,1
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,75,31,3,0,0
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,1436,398,74,12,9
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,40,20,3,0,1
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,166,97,19,2,6
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,78,51,5,0,0
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,636,53,7,8,0
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,52,63,1,1,0
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,454,112,28,8,1
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,676,104,30,28,1
