inec_provincia_id,provincia,total,acumuladas,lat,lng,semana
01,Azuay,60,60,-2.897414000000000,-79.00448100000000,1
02,Bolívar,13,13,-1.605556000000000,-79.00305600000000,1
04,Carchi,7,7,0.8121800000000000,-77.71633000000000,1
03,Cañar,19,19,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,56,56,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,37,37,-0.9333330000000000,-78.61666700000001,1
07,El Oro,64,64,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,23,23,1.050000000000000,-79.20000000000000,1
20,Galápagos,1,1,-0.7999999999999999,-89.40000000000001,1
09,Guayas,392,392,-2.183333000000000,-79.88333299999999,1
10,Imbabura,35,35,0.3626780000000000,-78.13066700000000,1
11,Loja,31,31,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,71,71,-1.800000000000000,-79.53333300000000,1
13,Manabí,123,123,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,14,14,-2.300000000000000,-78.11666700000001,1
15,Napo,9,9,-0.9890000000000000,-77.81590000000000,1
22,Orellana,8,8,-0.4666670000000000,-76.96666700000000,1
88,Otro,0,0,0,0,1
16,Pastaza,5,5,-1.066667000000000,-78.00111099999999,1
17,Pichincha,245,245,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,27,27,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,41,41,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,9,9,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,50,50,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,3,3,-4.120000000000000,-78.80000000000000,1
01,Azuay,87,147,-2.897414000000000,-79.00448100000000,2
02,Bolívar,9,22,-1.605556000000000,-79.00305600000000,2
04,Carchi,15,22,0.8121800000000000,-77.71633000000000,2
03,Cañar,15,34,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,52,108,-1.674347000000000,-78.64829400000001,2
05,Cotopaxi,36,73,-0.9333330000000000,-78.61666700000001,2
07,El Oro,44,108,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,21,44,1.050000000000000,-79.20000000000000,2
20,Galápagos,0,1,-0.7999999999999999,-89.40000000000001,2
09,Guayas,420,812,-2.183333000000000,-79.88333299999999,2
10,Imbabura,44,79,0.3626780000000000,-78.13066700000000,2
11,Loja,58,89,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,67,138,-1.800000000000000,-79.53333300000000,2
13,Manabí,116,239,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,8,22,-2.300000000000000,-78.11666700000001,2
15,Napo,6,15,-0.9890000000000000,-77.81590000000000,2
22,Orellana,5,13,-0.4666670000000000,-76.96666700000000,2
88,Otro,0,0,0,0,2
16,Pastaza,4,9,-1.066667000000000,-78.00111099999999,2
17,Pichincha,273,518,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,22,49,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,48,89,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,13,22,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,55,105,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,0,3,-4.120000000000000,-78.80000000000000,2
01,Azuay,74,221,-2.897414000000000,-79.00448100000000,3
02,Bolívar,16,38,-1.605556000000000,-79.00305600000000,3
04,Carchi,14,36,0.8121800000000000,-77.71633000000000,3
03,Cañar,21,55,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,38,146,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,40,113,-0.9333330000000000,-78.61666700000001,3
07,El Oro,59,167,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,30,74,1.050000000000000,-79.20000000000000,3
20,Galápagos,1,2,-0.7999999999999999,-89.40000000000001,3
09,Guayas,385,1197,-2.183333000000000,-79.88333299999999,3
10,Imbabura,43,122,0.3626780000000000,-78.13066700000000,3
11,Loja,42,131,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,65,203,-1.800000000000000,-79.53333300000000,3
13,Manabí,124,363,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,6,28,-2.300000000000000,-78.11666700000001,3
15,Napo,13,28,-0.9890000000000000,-77.81590000000000,3
22,Orellana,9,22,-0.4666670000000000,-76.96666700000000,3
88,Otro,0,0,0,0,3
16,Pastaza,6,15,-1.066667000000000,-78.00111099999999,3
17,Pichincha,236,754,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,24,73,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,42,131,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,12,34,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,56,161,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,1,4,-4.120000000000000,-78.80000000000000,3
01,Azuay,70,291,-2.897414000000000,-79.00448100000000,4
02,Bolívar,7,45,-1.605556000000000,-79.00305600000000,4
04,Carchi,11,47,0.8121800000000000,-77.71633000000000,4
03,Cañar,15,70,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,39,185,-1.674347000000000,-78.64829400000001,4
05,Cotopaxi,36,149,-0.9333330000000000,-78.61666700000001,4
07,El Oro,42,209,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,29,103,1.050000000000000,-79.20000000000000,4
20,Galápagos,1,3,-0.7999999999999999,-89.40000000000001,4
09,Guayas,367,1564,-2.183333000000000,-79.88333299999999,4
10,Imbabura,50,172,0.3626780000000000,-78.13066700000000,4
11,Loja,36,167,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,63,266,-1.800000000000000,-79.53333300000000,4
13,Manabí,124,487,-1.056181000000000,-80.45521700000000,4
14,Morona Santiago,9,37,-2.300000000000000,-78.11666700000001,4
15,Napo,2,30,-0.9890000000000000,-77.81590000000000,4
22,Orellana,7,29,-0.4666670000000000,-76.96666700000000,4
88,Otro,0,0,0,0,4
16,Pastaza,4,19,-1.066667000000000,-78.00111099999999,4
17,Pichincha,259,1013,-0.2186110000000000,-78.50972200000000,4
24,Santa Elena,36,109,-2.226700000000000,-80.85830000000000,4
23,Sto. Domingo Tsáchilas,27,158,-0.2541670000000000,-79.17194400000000,4
21,Sucumbíos,7,41,0.08472200000000002,-76.88277800000000,4
18,Tungurahua,56,217,-1.241667000000000,-78.61972200000000,4
19,Zamora Chinchipe,0,4,-4.120000000000000,-78.80000000000000,4
01,Azuay,66,357,-2.897414000000000,-79.00448100000000,5
02,Bolívar,9,54,-1.605556000000000,-79.00305600000000,5
04,Carchi,16,63,0.8121800000000000,-77.71633000000000,5
03,Cañar,22,92,-2.733333000000000,-78.83333300000000,5
06,Chimborazo,45,230,-1.674347000000000,-78.64829400000001,5
05,Cotopaxi,30,179,-0.9333330000000000,-78.61666700000001,5
07,El Oro,40,249,-3.266667000000000,-79.96666700000000,5
08,Esmeraldas,29,132,1.050000000000000,-79.20000000000000,5
20,Galápagos,4,7,-0.7999999999999999,-89.40000000000001,5
09,Guayas,379,1943,-2.183333000000000,-79.88333299999999,5
10,Imbabura,42,214,0.3626780000000000,-78.13066700000000,5
11,Loja,44,211,-3.983333000000000,-79.20000000000000,5
12,Los Ríos,68,334,-1.800000000000000,-79.53333300000000,5
13,Manabí,144,631,-1.056181000000000,-80.45521700000000,5
14,Morona Santiago,8,45,-2.300000000000000,-78.11666700000001,5
15,Napo,11,41,-0.9890000000000000,-77.81590000000000,5
