inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
01,Azuay,0115,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,0,1,0,2,1,1,2,0,3,2,0,1,0,2,3,1,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,3,0,0,0,0,3,0,0,1,0,0,3,3,4,0,0,0
01,Azuay,0111,Chordeleg,-2.933333000000000,-78.76666700000000,1,1,3,1,0,0,1,4,1,2,1,1,2,0,2,1,0,0,0,0,1,2,2,1,2,1,2,2,1,0,0,0,4,0,1,0,0,2,1,1,1,0,1,1,2,3,0,1,1,0,1,0
01,Azuay,0101,Cuenca,-2.897414000000000,-79.00448100000000,57,69,59,64,63,52,59,51,67,59,54,48,57,58,57,53,59,62,66,52,65,53,71,66,54,64,50,53,72,79,62,66,63,65,60,68,63,43,64,59,58,45,56,54,42,73,68,57,53,68,68,43
01,Azuay,0112,El Pan,-2.786111000000000,-78.66500000000001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
01,Azuay,0102,Girón,-3.159028000000000,-79.14756800000001,1,1,1,1,1,2,2,1,0,1,1,3,0,1,1,1,1,3,3,1,0,0,1,0,0,0,1,2,3,2,1,1,4,1,1,0,1,0,2,0,2,1,1,1,3,1,2,2,5,1,0,0
01,Azuay,0114,Guachapala,-2.769000000000000,-78.70900000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
01,Azuay,0103,Gualaceo,-2.900000000000000,-78.78333300000000,6,6,6,4,3,3,7,5,8,4,6,2,3,7,6,6,2,4,5,5,3,3,6,5,4,5,3,6,2,5,4,6,6,7,2,6,7,3,2,4,1,7,1,6,4,4,1,3,5,4,4,1
01,Azuay,0104,Nabón,-3.336060000000000,-79.06368000000001,0,2,2,1,4,3,1,0,0,1,3,2,0,1,1,2,3,2,3,1,3,0,1,1,1,1,1,0,2,0,0,1,2,2,1,3,1,0,2,1,1,1,1,0,3,5,2,2,2,1,1,2
01,Azuay,0110,Oña,-3.469640000000000,-79.15431000000000,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0
01,Azuay,0105,Paute,-2.781800000000000,-78.76000000000001,2,1,4,0,3,0,2,0,2,5,1,2,0,0,1,3,2,3,1,0,5,3,0,3,2,1,4,2,3,1,0,0,3,4,2,3,1,2,3,2,0,3,1,1,2,2,3,0,3,2,2,1
