inec_provincia_id,provincia,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,-2.897414000000000,-79.00448100000000,360,323,347,343,327,323,337,365,352,342,287,287
02,Bolívar,-1.605556000000000,-79.00305600000000,91,75,76,73,65,82,71,60,60,59,59,57
04,Carchi,0.8121800000000000,-77.71633000000000,56,62,57,49,58,55,49,70,62,55,55,66
03,Cañar,-2.733333000000000,-78.83333300000000,93,80,88,75,78,87,92,102,110,102,79,88
06,Chimborazo,-1.674347000000000,-78.64829400000001,225,213,186,205,177,166,222,181,220,199,176,165
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,188,152,137,150,149,173,161,134,156,150,135,136
07,El Oro,-3.266667000000000,-79.96666700000000,277,242,247,221,241,205,251,234,249,277,226,233
08,Esmeraldas,1.050000000000000,-79.20000000000000,160,141,122,128,109,123,131,128,113,134,131,97
20,Galápagos,-0.8000000000000000,-89.40000000000001,3,3,3,4,6,4,3,6,1,4,9,6
09,Guayas,-2.183333000000000,-79.88333299999999,1824,1545,1787,1700,1653,1597,1638,1689,1588,1640,1626,1670
10,Imbabura,0.3626780000000000,-78.13066700000000,162,135,178,170,169,172,146,171,150,168,177,129
11,Loja,-3.983333000000000,-79.20000000000000,239,223,196,199,204,173,199,188,180,209,184,180
12,Los Ríos,-1.800000000000000,-79.53333300000000,312,306,336,291,287,302,319,326,283,291,281,266
13,Manabí,-1.056181000000000,-80.45521700000000,533,504,563,492,496,507,531,542,535,519,529,501
14,Morona Santiago,-2.300000000000000,-78.11666700000001,56,51,35,41,35,31,37,37,43,39,52,37
15,Napo,-0.9890000000000000,-77.81590000000000,34,21,29,22,31,25,37,32,38,30,38,22
22,Orellana,-0.4666670000000000,-76.96666700000000,40,31,36,35,38,33,30,31,33,35,28,32
88,Otro,0,0,0,0,0,0,0,1,0,0,0,1,0,0
16,Pastaza,-1.066667000000000,-78.00111099999999,30,22,25,29,17,28,21,37,17,21,37,38
17,Pichincha,-0.2186110000000000,-78.50972200000000,1343,1017,1018,1023,1143,1049,1059,1110,1007,1061,1072,1171
24,Santa Elena,-2.226700000000000,-80.85830000000000,105,105,119,99,98,130,127,123,94,109,113,95
23,Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,192,173,169,167,184,167,180,176,177,184,159,156
21,Sucumbíos,0.08472200000000001,-76.88277800000000,52,48,46,49,52,43,50,56,57,52,52,44
18,Tungurahua,-1.241667000000000,-78.61972200000000,284,246,220,175,221,255,242,236,252,208,219,228
19,Zamora Chinchipe,-4.120000000000000,-78.80000000000000,21,17,17,22,28,17,22,33,16,14,14,19
