inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,semana
01,Azuay,881394,226,4,-2.897414000000000,-79.00448100000000,1
02,Bolívar,209933,73,1,-1.605556000000000,-79.00305600000000,1
04,Carchi,186869,130,8,0.8121800000000000,-77.71633000000000,1
03,Cañar,281396,104,1,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,524004,357,12,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,488716,316,4,-0.9333330000000000,-78.61666700000001,1
07,El Oro,715751,577,6,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,591083,242,1,1.050000000000000,-79.20000000000000,1
20,Galápagos,33042,6,1,-0.7999999999999999,-89.40000000000001,1
09,Guayas,4387434,1866,7,-2.183333000000000,-79.88333299999999,1
10,Imbabura,476257,217,3,0.3626780000000000,-78.13066700000000,1
11,Loja,521154,247,1,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,921763,362,1,-1.800000000000000,-79.53333300000000,1
13,Manabí,1562079,1325,24,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,196535,37,1,-2.300000000000000,-78.11666700000001,1
15,Napo,133705,78,0,-0.9890000000000000,-77.81590000000000,1
22,Orellana,161338,53,0,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,114202,64,1,-1.066667000000000,-78.00111099999999,1
17,Pichincha,3228233,2033,6,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,401178,389,4,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,511151,385,9,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,230503,100,2,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,590600,350,9,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,120416,56,0,-4.120000000000000,-78.80000000000000,1
01,Azuay,881394,228,2,-2.897414000000000,-79.00448100000000,2
02,Bolívar,209933,73,0,-1.605556000000000,-79.00305600000000,2
04,Carchi,186869,141,11,0.8121800000000000,-77.71633000000000,2
03,Cañar,281396,105,1,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,524004,361,4,-1.674347000000000,-78.64829400000001,2
05,Cotopaxi,488716,326,10,-0.9333330000000000,-78.61666700000001,2
07,El Oro,715751,585,8,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,591083,242,0,1.050000000000000,-79.20000000000000,2
20,Galápagos,33042,6,0,-0.7999999999999999,-89.40000000000001,2
09,Guayas,4387434,1870,4,-2.183333000000000,-79.88333299999999,2
10,Imbabura,476257,222,5,0.3626780000000000,-78.13066700000000,2
11,Loja,521154,247,0,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,921763,363,1,-1.800000000000000,-79.53333300000000,2
13,Manabí,1562079,1355,30,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,196535,37,0,-2.300000000000000,-78.11666700000001,2
15,Napo,133705,79,1,-0.9890000000000000,-77.81590000000000,2
22,Orellana,161338,53,0,-0.4666670000000000,-76.96666700000000,2
16,Pastaza,114202,65,1,-1.066667000000000,-78.00111099999999,2
17,Pichincha,3228233,2061,28,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,401178,392,3,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,511151,393,8,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,230503,101,1,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,590600,353,3,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,120416,56,0,-4.120000000000000,-78.80000000000000,2
01,Azuay,881394,249,21,-2.897414000000000,-79.00448100000000,3
02,Bolívar,209933,73,0,-1.605556000000000,-79.00305600000000,3
